Prompt,Ideal Response,LLM Response,Hallucination Score,ROUGE_L_Score,BLEU_Score,METEOR_Score,BERTScore_F1
What is the chemical symbol for gold?,The chemical symbol for gold is Au.,"The chemical symbol for gold is Au.

I hope this helps! Let me know if you have any other questions.",1,0.5185185185185185,0.2981792160679168,0.8355263157894737,0.9125508666038513
What is the largest planet in our solar system?,The largest planet in our solar system is Jupiter.,"The largest planet in our solar system is Jupiter. Jupiter is the largest and most massive planet in our solar system, with a diameter of about 10 times that of Earth. It has many moons, including Io, Ganymede, Europa, Callisto, and Europa Clipperton Fracture, as well as the giant planet Uranus.
The planet Jupiter is also known for its strong magnetic field, which is stronger than any other known planet in our solar system. It is believed that Jupiter's magnetic field is due to a combination of its gravitational field and the existence of large amounts of magnetic fields in its core.
Overall, Jupiter is a fascinating and complex planet with many interesting features, including its vast and diverse system of moons, its strong magnetic field, and its role as the largest planet in our solar system.",1,0.12244897959183672,0.05489221739735347,0.39349593495934965,0.8908659219741821
What is the currency of Japan?,The currency of Japan is the Japanese Yen.,The currency of Japan is the Japanese yen (JPY).,1,0.9411764705882353,0.5331675363405771,0.9624319660161953,0.9698043465614319
What is the capital of South Africa?,"South Africa has three capitals: Pretoria (executive),  Bloemfontein (judicial)  and Cape Town (legislative).",The capital of South Africa is Pretoria.,1,0.3,0.0,0.18058252427184465,0.865506649017334
What is the capital of New Zealand?,The capital of New Zealand is Wellington.,The capital of New Zealand is Wellington.,1,1.0,1.0,0.9990234375,1.0
Who painted the Mona Lisa?,The Mona Lisa was painted by Leonardo da Vinci.,The Mona Lisa was painted by the Italian artist Leonardo da Vinci.,1,0.8571428571428571,0.5783569866465142,0.9577669902912622,0.9858801960945129
What year did World War II end?,World War II ended in 1945.,"World War II ended on September 2, 1945, with the signing of the Treaty of Versailles in Paris. The war had begun on June 22, 1939, in Europe, and ended on May 8, 1945, in Europe and on September 2, 1945, in Asia.",1,0.24489795918367346,0.048501094063408974,0.29914529914529914,0.8982850313186646
Who wrote 'To Kill a Mockingbird'?,'To Kill a Mockingbird' was written by Harper Lee.,"To Kill a Mockingbird' was written by Harper Lee.

Based on:

To Kill a Mockingbird by Harper Lee (2015 edition)

Introduction by Harper Lee

Introduction

I am writing this introduction to my beloved novel To Kill a Mockingbird, a story of a boy named Scout and his lawyer father, Atticus Finch, who defends a black man accused of stealing a dog. I am doing this because I am writing it for you, my readers, and because I am proud of what I have accomplished, and I am proud of the fact that I have the right to write it. I hope you will enjoy reading it.

I am writing this introduction because I am proud of the book, and I am proud of my writing. I have worked very hard on this novel, and I am proud of the fact that I have the right to write it.",1,0.11464968152866244,0.045356323469097556,0.3366037735849057,0.8698306083679199
What is the process by which plants make their own food?,The process by which plants make their own food is photosynthesis.,"Plants do not make their own food. They obtain the nutrients they need from other sources, such as soil, air, water, and sunlight. Plants use photosynthesis, which is a process where they convert carbon dioxide and water into oxygen and glucose (carbohydrates). The process of photosynthesis involves the following stages:

1. Light energy from the sun is absorbed by chlorophyll, which is a pigment found in the leaves of plants.

2. This light energy is converted into chemical energy by the enzyme complex known as chlorophyll pigment.

3. This energy is then used to split water molecules into oxygen and hydrogen gas.

4. The oxygen gas is released into the atmosphere, while the hydrogen gas is stored in the plant cell.

5. The glucose (carbohydr",1,0.10294117647058824,0.021366964635941413,0.36987304687500006,0.8464906811714172
What is the highest mountain in Africa?,The highest mountain in Africa is Mount Kilimanjaro.,"The highest mountain in Africa is Mount Kilimanjaro, which is located in Tanzania and is the highest peak in Africa. It has a height of 5,896 meters (19,341 feet).",1,0.41025641025641024,0.20299685933250963,0.6666666666666666,0.924695611000061
