Prompt,Ideal Response,LLM Response,METEOR_Score
What is the chemical symbol for gold?,The chemical symbol for gold is Au.,Answer: Gold is represented by the chemical symbol Au.,0.8101794934841410
What is the largest planet in our solar system?,The largest planet in our solar system is Jupiter.,Answer: Pluto is the largest planet in our solar system.,0.866013071895425
What is the currency of Japan?,The currency of Japan is the Japanese Yen.,Answer: The currency of Japan is the yen.,0.8722527472527470
What is the capital of South Africa?,"South Africa has three capitals: Pretoria (executive),  Bloemfontein (judicial)  and Cape Town (legislative).",Answer: Cape Town,0.12651265126512600
What is the capital of New Zealand?,The capital of New Zealand is Wellington.,"Answer: Wellington, the capital of New Zealand.",0.8200597312095570
Who painted the Mona Lisa?,The Mona Lisa was painted by Leonardo da Vinci.,Answer: Leonardo da Vinci.,0.4134114583333330
What year did World War II end?,World War II ended in 1945.,Answer: World War II ended in 1945.,0.9708049886621320
Who wrote 'To Kill a Mockingbird'?,'To Kill a Mockingbird' was written by Harper Lee.,Answer: Harper Lee did not write 'To Kill a Mockingbird'.,0.6954520089285710
What is the process by which plants make their own food?,The process by which plants make their own food is photosynthesis.,Answer: The process by which plants make their own food is called photosynthesis.,0.9733514001806690
What is the highest mountain in Africa?,The highest mountain in Africa is Mount Kilimanjaro.,"Answer: Mount Kilimanjaro, located in Tanzania, is the highest mountain in Africa.",0.8871070383097880
Who developed the theory of relativity?,The theory of relativity was developed by Albert Einstein.,Answer: Albert Einstein developed the theory of relativity.,0.7500000000000000
What is the main ingredient in guacamole?,The main ingredient in guacamole is avocado.,Answer: The main ingredient in guacamole is avocado.,0.9746570121951220
What is the capital of Australia?,The capital of Australia is Canberra.,Answer: The capital of Australia is Canberra.,0.9708049886621320
What is the powerhouse of the cell?,The powerhouse of the cell is mitochondria.,Answer: The powerhouse of the cell is a complex organelle that plays a crucial role in cellular metabolism.,0.7519964507542150
What is the freezing point of water in Celsius?,The freezing point of water in Celsius is 0 degrees.,Answer: The freezing point of water in Celsius is 0°C (32°F).,0.785141867013212
Who wrote 'Romeo and Juliet'?,William Shakespeare wrote 'Romeo and Juliet'.,Answer: William Shakespeare wrote 'Romeo and Juliet'.,0.9746570121951220
What is the largest ocean on Earth?,The largest ocean on Earth is the Pacific Ocean.,"Answer: The largest ocean on Earth is the Pacific Ocean, with a surface area of approximately 269 million square kilometers (104 million square miles).",0.8369747899159670
What is the fastest land animal?,The fastest land animal is the cheetah.,"Answer: The fastest land animal is the cheetah, which can reach speeds of up to 70 miles per hour (112 km/h) on a flat surface.",0.778186274509804
Who was the first person to walk on the moon?,The first person to walk on the moon was Neil Armstrong.,Answer: Neil Armstrong was the first person to walk on the moon.,0.9653916211293260
What is the capital of Canada?,The capital of Canada is Ottawa.,Answer: The capital of Canada is Ottawa.,0.9708049886621320
What year did the Titanic sink?,The Titanic sank in 1912.,Answer: The Titanic sank in 1912.,0.9655017921146950
What is the smallest planet in our solar system?,The smallest planet in our solar system is Mercury.,Answer: Pluto is the smallest planet in our solar system.,0.866013071895425
Who wrote '1984'?,George Orwell wrote '1984'.,Answer: George Orwell wrote '1984'.,0.9655017921146950
What is the study of living organisms called?,The study of living organisms is called biology.,Answer: The study of living organisms is called ecology.,0.8627717391304350
What is the longest river in the world?,The longest river in the world is the Nile River.,"Answer: The Nile River in Egypt is the longest river in the world, with a total length of 4,130 miles (6,650 km).",0.4365079365079370
What is the chemical symbol for water?,The chemical symbol for water is H2O.,"Answer: Hydrogen (H)

Sentence: The chemical symbol for water is Hydrogen (H)

Insufficient evidence:

1.",0.728249194414608
Who is known as the father of modern physics?,Albert Einstein is known as the father of modern physics.,Answer: Albert Einstein is known as the father of modern physics.,0.9817739079102720
What is the primary ingredient in bread?,The primary ingredient in bread is flour.,Answer: The primary ingredient in bread is flour.,0.9746570121951220
What is the currency of India?,The currency of India is the Indian Rupee.,Answer: The currency of India is the Indian rupee (INR).,0.9421702404158550
What is the capital of Germany?,The capital of Germany is Berlin.,Answer: The capital of Germany is Berlin.,0.9708049886621320
Who invented the light bulb?,Thomas Edison invented the light bulb.,Answer: The inventor of the light bulb is Thomas Edison.,0.7500000000000000
What is the basic unit of heredity?,The basic unit of heredity is the gene.,Answer: The basic unit of heredity is a gene.,0.8466372282608690
What is the boiling point of water in Celsius?,The boiling point of water in Celsius is 100 degrees.,Answer: The boiling point of water in Celsius is 100°C (212°F).,0.785141867013212
Who wrote 'Pride and Prejudice'?,Jane Austen wrote 'Pride and Prejudice'.,Answer: Jane Austen wrote 'Pride and Prejudice.,0.854119425547997
